DATE,elec
2016-04-30,2179840
2016-05-31,2122049
2016-06-30,2220917
2016-07-31,2487683
2016-08-31,2576061
2016-09-30,2337368
2016-10-31,2261425
2016-11-30,2421991
2016-12-31,2688504
2017-01-31,2918101
2017-02-28,2718363
2017-03-31,2728445
2017-04-30,2288635
2017-05-31,2171524
2017-06-30,2215780
2017-07-31,2615844
2017-08-31,2569995
2017-09-30,2275647
2017-10-31,2303746
2017-11-30,2502746
2017-12-31,2949499
2018-01-31,3113063
2018-02-28,2864536
2018-03-31,2667866
2018-04-30,2262864
2018-05-31,2200520
2018-06-30,2268282
2018-07-31,2739367
2018-08-31,2647596
2018-09-30,2266666
2018-10-31,2302728
2018-11-30,2377523
2018-12-31,2762845
2019-01-31,2913779
2019-02-28,2618491
2019-03-31,2592461
2019-04-30,2317523
2019-05-31,2132847
2019-06-30,2168969
2019-07-31,2474206
2019-08-31,2596516
2019-09-30,2314214
2019-10-31,2192666
2019-11-30,2286570
2019-12-31,2594920
2020-01-31,2653126
2020-02-29,2619241
2020-03-31,2540818
